MAXIMO_X,MAXIMO_Y,MAXIMO_Z,MINIMO_X,MINIMO_Y,MINIMO_Z,MEDIA_X,MEDIA_Y,MEDIA_Z,MODA_X,MODA_Y,MODA_Z,MEDIANA_X,MEDIANA_Y,MEDIANA_Z,VARIANZA_X,VARIANZA_Y,VARIANZA_Z,TIPO,TEXTO_TIPO
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
-3800,3684,14776,-3924,3580,14492,-3879,3635.5,14607,-3924,3580,14492,-3924,-3924,-3924,44.22,39.28,89.49,9,ACOSTADO_ESPALDAS
